Team,Icon
Alabama,"Alabama<a href=""https://rolltide.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/alabama2.png"" alt="""" width=""300"" height=""300"" class=""alignnone size-medium wp-image-2291"" /></a>"
Ohio St.,"Ohio State<a href=""http://https://ohiostatebuckeyes.com/sports/m-footbl/""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/osu7-1024x1008-1-300x295.png"" alt=""ohio state logo"" width=""300"" height=""295"" class=""alignnone size-medium wp-image-133"" /></a>"
Georgia,"Georgia<a href=""http://https://georgiadogs.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/georgia2-1024x664-1-300x195.png"" alt="""" width=""300"" height=""195"" class=""alignnone size-medium wp-image-177"" /></a>"
Clemson,"Clemson<a href=""http://https://clemsontigers.com/sports/football/""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/clemson1-1024x979-1-300x287.png"" alt=""clemson"" width=""300"" height=""287"" class=""alignnone size-medium wp-image-97"" /></a>"
Notre Dame,"Notre Dame<a href=""http://https://und.com/sports/football/""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/notredame1-1024x922-1-300x270.png"" alt=""Notre Dame Logo"" width=""300"" height=""270"" class=""alignnone size-medium wp-image-128"" /></a>"
Texas A&M,"Texas A&M<a href=""http://https://12thman.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/Texas-A_M-300x247.png"" alt=""Texas A&amp;M logo"" width=""300"" height=""247"" class=""alignnone size-medium wp-image-196"" /></a>"
Utah,"Utah<a href=""http://https://utahutes.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/utah2-1024x935-1-300x274.png"" alt=""Utah logo"" width=""300"" height=""274"" class=""alignnone size-medium wp-image-202"" /></a>"
Michigan,"Michigan<a href=""http://https://mgoblue.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/michigan4-1024x649-1-300x190.png"" alt=""Michigan logo"" width=""300"" height=""190"" class=""alignnone size-medium wp-image-120"" /></a>"
Oklahoma,"Oklahoma<a href=""http://https://soonersports.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/oklahoma2-795x1024-1-233x300.png"" alt="""" width=""233"" height=""300"" class=""alignnone size-medium wp-image-131"" /></a>"
Oregon,"Oregon<a href=""http://https://goducks.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/oregon2-1024x847-1-300x248.png"" alt=""Oregon logo"" width=""300"" height=""248"" class=""alignnone size-medium wp-image-188"" /></a>"
Oklahoma St.,"Oklahoma State<a href=""http://https://okstate.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/osu6-1024x532-1-300x156.png"" alt=""Oklahoma State logo"" width=""300"" height=""156"" class=""alignnone size-medium wp-image-132"" /></a>"
Wisconsin,"Wisconsin<a href=""http://https://uwbadgers.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/wisconsin3-1024x967-1-300x283.png"" alt=""Wisconsin logo"" width=""300"" height=""283"" class=""alignnone size-medium wp-image-159"" /></a>"
Baylor,"Baylor<a href=""http://https://baylorbears.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/baylor3-851x1024-1-249x300.png"" alt=""Baylor logo"" width=""249"" height=""300"" class=""alignnone size-medium wp-image-90"" /></a>"
Miami (FL),"Miami<a href=""http://https://miamihurricanes.com/sports/football/""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/miami2-1024x630-1-300x185.png"" alt=""Miami logo"" width=""300"" height=""185"" class=""alignnone size-medium wp-image-117"" /></a>"
NC State,"North Carolina State<a href=""http://https://gopack.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/08/ncsu3-252x300.png"" alt="""" width=""252"" height=""300"" class=""alignnone size-medium wp-image-2336"" /></a>"
Cincinnati,"Cincinnati<a href=""http://https://gobearcats.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/cincin3-1024x1024-1-300x300.png"" alt=""cincinnati"" width=""300"" height=""300"" class=""alignnone size-medium wp-image-96"" /></a>"
Southern California,"USC<a href=""http://https://usctrojans.com/sports/football?path=football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/usc1-686x1024-1-201x300.png"" alt=""USC Trojans Logo"" width=""201"" height=""300"" class=""alignnone size-medium wp-image-201"" /></a>"
Penn St.,"Penn State<a href=""http://https://gopsusports.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/psu2-1024x711-1-300x208.png"" alt=""Penn State logo"" width=""300"" height=""208"" class=""alignnone size-medium wp-image-135"" /></a>"
Texas,"Texas<a href=""http://https://texassports.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/texas2-1024x522-1-300x153.png"" alt=""Texas logo"" width=""300"" height=""153"" class=""alignnone size-medium wp-image-145"" /></a>"
BYU,"BYU<a href=""http://https://byucougars.com/home/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/07/byu4-300x195.png"" alt="""" width=""300"" height=""195"" class=""alignnone size-medium wp-image-2139"" /></a>"
Ole Miss,"Ole Miss<a href=""http://https://olemisssports.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/olemiss2-1024x335-1-300x98.png"" alt=""Ole Miss logo"" width=""300"" height=""98"" class=""alignnone size-medium wp-image-187"" /></a>"
Pittsburgh,"Pittsburgh<a href=""http://https://pittsburghpanthers.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/pitt3-1024x578-1-300x169.png"" alt=""Pittsburg logo"" width=""300"" height=""169"" class=""alignnone size-medium wp-image-134"" /></a>"
Tennessee,"Tennessee<a href=""http://https://utsports.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/tennessee1-1024x1024-1-300x300.png"" alt=""Tennessee Volunteers logo"" width=""300"" height=""300"" class=""alignnone size-medium wp-image-195"" /></a>"
Iowa,"Iowa<a href=""http://https://hawkeyesports.com/sports/football/""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/iowa2-1024x719-1-300x211.png"" alt=""Iowa logo"" width=""300"" height=""211"" class=""alignnone size-medium wp-image-110"" /></a>"
Wake Forest,"Wake Forest<a href=""http://https://godeacs.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/08/wakeforest-300x213.png"" alt="""" width=""300"" height=""213"" class=""alignnone size-medium wp-image-2341"" /></a>"
LSU,"LSU<a href=""http://https://lsusports.net/sports/fb/""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/lsu2-1024x337-1-300x99.png"" alt=""louisiana state logo"" width=""300"" height=""99"" class=""alignnone size-medium wp-image-182"" /></a>"
Arkansas,"Arkansas<a href=""http://https://arkansasrazorbacks.com/sport/m-footbl/""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/arkansas2-1024x451-1-300x132.png"" alt=""Arkansas logo"" width=""300"" height=""132"" class=""alignnone size-medium wp-image-166"" /></a>"
Michigan St.,"Michigan State<a href=""http://https://msuspartans.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/msu1-889x1024-1-260x300.png"" alt=""Michigan State logo"" width=""260"" height=""300"" class=""alignnone size-medium wp-image-122"" /></a>"
Kentucky,"Kentucky<a href=""http://https://ukathletics.com/sports/football/""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/kentucky2-1024x838-1-300x246.png"" alt=""Kentucky Logo"" width=""300"" height=""246"" class=""alignnone size-medium wp-image-180"" /></a>"
Florida,"Florida<a href=""http://https://floridagators.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/florida1-1024x653-1-300x191.png"" alt=""Florida logo"" width=""300"" height=""191"" class=""alignnone size-medium wp-image-176"" /></a>"
Auburn,"Auburn<a href=""http://https://auburntigers.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/auburn2-1024x905-1-300x265.png"" alt=""Auburn logo"" width=""300"" height=""265"" class=""alignnone size-medium wp-image-168"" /></a>"
Mississippi St.,"Mississippi State<a href=""http://https://hailstate.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/missstate1-1024x626-1-300x183.png"" alt=""Mississippi State logo"" width=""300"" height=""183"" class=""alignnone size-medium wp-image-185"" /></a>"
UCLA,"UCLA<a href=""http://https://uclabruins.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/ucla2-1024x503-1-300x147.png"" alt=""UCLA Logo"" width=""300"" height=""147"" class=""alignnone size-medium wp-image-199"" /></a>"
Kansas St.,"Kansas State<a href=""http://https://www.kstatesports.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/07/kstate1-300x223.png"" alt="""" width=""300"" height=""223"" class=""alignnone size-medium wp-image-2217"" /></a>"
Boise St.,"Boise State<a href=""http://https://broncosports.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/boisestate1-1024x844-1-300x247.png"" alt=""Boise State logo"" width=""300"" height=""247"" class=""alignnone size-medium wp-image-92"" /></a>"
Iowa St.,"Iowa State<a href=""http://https://cyclones.com/sports/football?path=football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/07/iowastate3-300x207.png"" alt="""" width=""300"" height=""207"" class=""alignnone size-medium wp-image-2212"" /></a>"
Houston,"Houston<a href=""http://https://uhcougars.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/houston1-1024x975-1-300x286.png"" alt=""Houston logo"" width=""300"" height=""286"" class=""alignnone size-medium wp-image-107"" /></a>"
Purdue,"Purdue<a href=""http://https://purduesports.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/purdue4-1024x559-1-300x164.png"" alt=""Purdue logo"" width=""300"" height=""164"" class=""alignnone size-medium wp-image-136"" /></a>"
Minnesota,"Minnesota<a href=""http://https://gophersports.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/minnesota2-1024x613-1-300x180.png"" alt=""Minnesota logo"" width=""300"" height=""180"" class=""alignnone size-medium wp-image-121"" /></a>"
UCF,"UCF<a href=""http://https://ucfknights.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/07/ucf-300x241.png"" alt="""" width=""300"" height=""241"" class=""alignnone size-medium wp-image-2205"" /></a>"
Florida St.,"Florida State<a href=""http://https://seminoles.com/sports/football/""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/fsu3-1004x1024-1-294x300.png"" alt=""Florida State logo"" width=""294"" height=""300"" class=""alignnone size-medium wp-image-105"" /></a>"
Louisville,"Louisville<a href=""http://https://gocards.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/08/louisville2-272x300.png"" alt="""" width=""272"" height=""300"" class=""alignnone size-medium wp-image-2331"" /></a>"
Oregon St.,"Oregon State<a href=""http://https://osubeavers.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/oregonstate2-1024x567-1-300x166.png"" alt=""Oregon State logo"" width=""300"" height=""166"" class=""alignnone size-medium wp-image-189"" /></a>"
Fresno St.,"Fresno State<a href=""http://https://gobulldogs.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/fresnost1-1024x733-1-300x215.png"" alt=""Fresno State logo"" width=""300"" height=""215"" class=""alignnone size-medium wp-image-104"" /></a>"
Washington,"Washington<a href=""http://https://gohuskies.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/washington3-1024x709-1-300x208.png"" alt=""Washington logo"" width=""300"" height=""208"" class=""alignnone size-medium wp-image-204"" /></a>"
North Carolina,"North Carolina<a href=""http://https://goheels.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/unc3-1024x807-1-300x236.png"" alt=""north carolina"" width=""300"" height=""236"" class=""alignnone size-medium wp-image-152"" /></a>"
South Carolina,"South Carolina<a href=""http://https://gamecocksonline.com/sports/football/""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/southcarolina2-933x1024-1-273x300.png"" alt=""South Carolina logo"" width=""273"" height=""300"" class=""alignnone size-medium wp-image-192"" /></a>"
App State,"Appalachian State<a href=""http://appstatesports.com/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/appstate2-905x1024-1-265x300.png"" alt=""Appalachian State logo"" width=""265"" height=""300"" class=""alignnone size-medium wp-image-165"" /></a>"
Nebraska,"Nebraska<a href=""http://https://huskers.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/nebraska2-1024x1024-1-300x300.png"" alt=""Nebraska logo"" width=""300"" height=""300"" class=""alignnone size-medium wp-image-123"" /></a>"
TCU,"TCU<a href=""http://https://gofrogs.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/tcu4-1024x500-1-300x146.png"" alt=""Texas Christian logo"" width=""300"" height=""146"" class=""alignnone size-medium wp-image-143"" /></a>"
Boston College,"Boston College<a href=""http://https://bceagles.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/08/bc3-300x273.png"" alt="""" width=""300"" height=""273"" class=""alignnone size-medium wp-image-2324"" /></a>"
Air Force,"Air Force<a href=""http://https://goairforcefalcons.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/airforce3-950x1024-1-278x300.png"" alt=""Air Force logo"" width=""278"" height=""300"" class=""alignnone size-medium wp-image-84"" /></a>"
West Virginia,"West Virginia<a href=""http://https://wvusports.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/wvu1-993x1024-1-291x300.png"" alt=""West Virginia logo"" width=""291"" height=""300"" class=""alignnone size-medium wp-image-160"" /></a>"
Arizona St.,"Arizona State<a href=""http://https://thesundevils.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/asu1-1011x1024-1-296x300.png"" alt=""Arizona State logo"" width=""296"" height=""300"" class=""alignnone size-medium wp-image-87"" /></a>"
Texas Tech,"Texas Tech<a href=""http://https://texastech.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/tt3-885x1024-1-259x300.png"" alt=""Texas Tech logo"" width=""259"" height=""300"" class=""alignnone size-medium wp-image-147"" /></a>"
Virginia,"Virginia<a href=""http://https://virginiasports.com/sports/football/""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/08/virginia-300x238.png"" alt="""" width=""300"" height=""238"" class=""alignnone size-medium wp-image-2406"" /></a>"
Missouri,"Missouri<a href=""http://https://mutigers.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/missouri1-1024x585-1-300x171.png"" alt=""Missouri logo"" width=""300"" height=""171"" class=""alignnone size-medium wp-image-184"" /></a>"
SMU,"SMU<a href=""http://https://smumustangs.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/07/smu-300x155.png"" alt="""" width=""300"" height=""155"" class=""alignnone size-medium wp-image-2195"" /></a>"
Maryland,"Maryland<a href=""http://https://umterps.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/maryland6-934x1024-1-274x300.png"" alt=""Maryland logo"" width=""274"" height=""300"" class=""alignnone size-medium wp-image-115"" /></a>"
Washington St.,"Washington State<a href=""http://https://wsucougars.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/wsu2-1024x976-1-300x286.png"" alt=""Washington State logo"" width=""300"" height=""286"" class=""alignnone size-medium wp-image-205"" /></a>"
Stanford,"Stanford<a href=""http://https://gostanford.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/stanford2-670x1024-1-196x300.png"" alt=""Stanford logo"" width=""196"" height=""300"" class=""alignnone size-medium wp-image-193"" /></a>"
Colorado,"Colorado<a href=""http://https://cubuffs.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/colorado1-1024x755-1-300x221.png"" alt=""Colorado logo"" width=""300"" height=""221"" class=""alignnone size-medium wp-image-173"" /></a>"
San Diego St.,"San Diego State<a href=""http://https://goaztecs.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/sds3-1024x712-1-300x209.png"" alt=""San Diego State logo"" width=""300"" height=""209"" class=""alignnone size-medium wp-image-138"" /></a>"
California,"California<a href=""http://https://calbears.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/cal1-1024x821-1-300x241.png"" alt=""California logo"" width=""300"" height=""241"" class=""alignnone size-medium wp-image-171"" /></a>"
UAB,"UAB<a href=""http://https://uabsports.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/06/uab1-300x255.png"" alt="""" width=""300"" height=""255"" class=""alignnone size-medium wp-image-2117"" /></a>"
Virginia Tech,"Virginia Tech<a href=""http://https://hokiesports.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/08/vt-300x143.png"" alt="""" width=""300"" height=""143"" class=""alignnone size-medium wp-image-2411"" /></a>"
